Costs,Total,Zone1,Zone2,Zone3
cTotal,2.184656208028559e9,5.3231009495441586e8,9.349868805864776e8,6.596150868581499e8
cFix,1.7750657825080152e9,3.1030449240431964e8,8.112352254284089e8,6.535260646752869e8
cVar,6.836105048193228e7,3.482596443901875e7,2.744606386005044e7,6.089022182862985e6
cFuel,2.8081660708740956e8,1.8474581075726807e8,9.60707963301455e7,0.0
cNSE,0.0,0.0,0.0,0.0
cStart,2.668622321682208e6,2.433827353809395e6,234794.96787281334,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.7744145629478335e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
