Costs,Total,Zone1,Zone2,Zone3
cTotal,1.9900358184359043e10,1.4002645154167797e10,4.2390857760578117e9,1.5845282541339335e9
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660912e8,6.509704310170647e8
cVar,6.73446515226075e7,3.972538153345326e7,1.747164411393761e7,1.0147625875216328e7
cFuel,2.927938282846394e8,2.098288524198511e8,5.703756056406376e7,2.5927415300732743e7
cNSE,1.7671443402460163e10,1.3427117046167725e10,3.3481056232759194e9,8.962207330165031e8
cStart,2.8571370772261415e7,2.099348951004448e7,6.315832337800216e6,1.262048924416716e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
