Costs,Total,Zone1,Zone2,Zone3
cTotal,4.309196794353515e9,2.579500683062721e9,9.751364101212595e8,6.956299814623685e8
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660911e8,6.509704310170647e8
cVar,7.333081735786939e7,4.132798593156198e7,2.4766053414612688e7,7.2367780116951885e6
cFuel,3.1492302137826246e8,2.1853398507348552e8,8.50490318702215e7,1.1340004434549063e7
cNSE,2.0910802538558333e9,2.0106337786580887e9,5.449935284117478e7,2.5947122356568404e7
cStart,4.827050734512086e6,4.02454886286172e6,666856.229159399,135645.64249096782
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.8929719707154125e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
