Costs,Total,Zone1,Zone2,Zone3
cTotal,2.2770663384632343e10,1.69350092607842e10,4.151318375817051e9,1.6102367480315878e9
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660912e8,6.509704310170647e8
cVar,6.731759910408138e7,3.967212368183524e7,1.747589603108768e7,1.0169579391158113e7
cFuel,2.931062326685239e8,2.097698406179176e8,5.73306891816681e7,2.6005702868947934e7
cNSE,2.0541719177017975e10,1.6359010491975624e10,3.2604582183656554e9,9.222504666766919e8
cStart,2.831544452237575e7,2.1576419972101856e7,5.898456472548588e6,840568.0777253057
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
