Costs,Total,Zone1,Zone2,Zone3
cTotal,4.34377184006634e9,2.6133499608133016e9,9.757871537071402e8,6.957050058387773e8
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660911e8,6.509704310170647e8
cVar,7.334316015983048e7,4.1146767605687425e7,2.4950243427719332e7,7.24614912642448e6
cFuel,3.149314587265757e8,2.1785373464155844e8,8.567206638878204e7,1.140565769622857e7
cNSE,2.1259256300766466e9,2.0454791548789024e9,5.449935284117478e7,2.5947122356568404e7
cStart,4.535940076294284e6,3.8899191504303636e6,510375.28337295266,135645.64249096782
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.8929719707154065e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
