Costs,Total,Zone1,Zone2,Zone3
cTotal,2.2770819460048584e10,1.6938072525551273e10,4.1484104165377665e9,1.6102375179600463e9
cFix,1.7661059313198786e9,3.049803845367229e8,8.101551157660912e8,6.509704310170647e8
cVar,6.732896732141182e7,3.9686181314851046e7,1.7472436686944094e7,1.0170349319616454e7
cFuel,2.931355488726342e8,2.0981047657375386e8,5.731936942994238e7,2.6005702868947934e7
cNSE,2.0542234253241665e10,1.6362311726242245e10,3.2576720603227243e9,9.222504666766919e8
cStart,2.7915759293489955e7,2.128375688369981e7,5.791434332064849e6,840568.0777253055
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
